1,12.0,12.0,12.0
100100101,70.0,69.25,51.5
100100102,100.0,97.0,92.5
100100103,90.0,88.5,68.75
100100104,72.25,74.75,58.25
100100105,85.0,56.0,62.5
100100106,70.0,66.5,61.75
100100107,55.0,47.0,50.5
100100108,40.0,32.5,27.75
100100109,82.5,77.0,74.25
100100100,75.0,68.0,54.25
100100101,70.0,69.25,51.5
100100102,100.0,97.0,92.5
100100103,90.0,88.5,68.75
100100104,72.25,74.75,58.25
100100105,85.0,56.0,62.5
100100106,70.0,66.5,61.75
100100107,55.0,47.0,50.5
100100108,40.0,32.5,27.75
100100109,82.5,77.0,74.25
100100100,75.0,68.0,54.25
100100101,70.0,69.25,51.5
100100102,100.0,97.0,92.5
100100103,90.0,88.5,68.75
100100104,72.25,74.75,58.25
100100105,85.0,56.0,62.5
100100106,70.0,66.5,61.75
100100107,55.0,47.0,50.5
100100108,40.0,32.5,27.75
100100109,82.5,77.0,74.25
100100100,75.0,68.0,54.25
100100101,70.0,69.25,51.5
100100102,100.0,97.0,92.5
100100103,90.0,88.5,68.75
100100104,72.25,74.75,58.25
100100105,85.0,56.0,62.5
100100106,70.0,66.5,61.75
100100107,55.0,47.0,50.5
100100108,40.0,32.5,27.75
100100109,82.5,77.0,74.25
100100100,75.0,68.0,54.25
100100101,70.0,69.25,51.5
100100102,100.0,97.0,92.5
100100103,90.0,88.5,68.75
100100104,72.25,74.75,58.25
100100105,85.0,56.0,62.5
100100106,70.0,66.5,61.75
100100107,55.0,47.0,50.5
100100108,40.0,32.5,27.75
100100109,82.5,77.0,74.25
